,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
1081,3,C1(C(C(CO)OC(C1O)O)O)=O,6,10,6,178.04773804,0,0,6,4
1082,3,C1(C(C(COC(C1O)O)O)O)=O,6,10,6,178.04773804,0,0,6,4
1083,3,C(CO)(C(CC(CO)O)N)=O,6,13,4,163.084457896,0,1,5,4
1084,3,C(CO)(CC(C(CO)O)N)=O,6,13,4,163.084457896,0,1,5,4
1085,3,C(CO)(C(C(CCO)N)O)=O,6,13,4,163.084457896,0,1,5,4
1086,3,C(CO)(C(CC(CO)N)O)=O,6,13,4,163.084457896,0,1,5,4
1087,3,C(CO)(C(C(C(C)N)O)O)=O,6,13,4,163.084457896,0,1,5,4
1088,3,C(CO)(C(C(CCN)O)O)=O,6,13,4,163.084457896,0,1,5,4
1089,3,C1(CC(C(CO)=O)N(C)C1)=O,7,11,3,157.073893212,0,1,4,1
1090,3,C1(C(CN(C)C1CCO)=O)=O,7,11,3,157.073893212,0,1,4,1
1091,3,C(C1CC(C(CN1C)=O)O)=O,7,11,3,157.073893212,0,1,4,1
1092,3,C1(C(C)N(C)CC(C1O)=O)=O,7,11,3,157.073893212,0,1,4,1
1093,3,C1(C(CO)N(C)CC(C1)=O)=O,7,11,3,157.073893212,0,1,4,1
1094,3,C(C1C(C(CN1C)=O)O)(C)=O,7,11,3,157.073893212,0,1,4,1
1095,3,C(CO)(C1CC(CN1)O)=O,6,11,3,145.073893212,0,1,4,3
1096,3,C1(C(CNC1CCO)O)=O,6,11,3,145.073893212,0,1,4,3
1097,3,C(C1CC(C(CN1)O)O)=O,6,11,3,145.073893212,0,1,4,3
1098,3,C1(C(C(CNC1C)O)O)=O,6,11,3,145.073893212,0,1,4,3
1099,3,C1(C(CN(C)C(CO)C1)=O)=O,7,11,3,157.073893212,0,1,4,1
1100,3,C1(C(CN(C)CC(C1)=O)O)=O,7,11,3,157.073893212,0,1,4,1
1101,3,C1(CCN(C)CC(C1O)=O)=O,7,11,3,157.073893212,0,1,4,1
1102,3,C(CC1C(C(CN1C)=O)O)=O,7,11,3,157.073893212,0,1,4,1
1103,3,C1(CNC(C(CO)O)C1)=O,6,11,3,145.073893212,0,1,4,3
1104,3,C1(CNC(CCO)C1O)=O,6,11,3,145.073893212,0,1,4,3
1105,3,C1(CNC(CO)CC1O)=O,6,11,3,145.073893212,0,1,4,3
1106,3,C1(CNC(C)C(C1O)O)=O,6,11,3,145.073893212,0,1,4,3
1107,3,C1(CNCCC(C1O)O)=O,6,11,3,145.073893212,0,1,4,3
1108,3,C1(C(C(C(CO)C1N)O)O)=O,6,11,4,161.068807832,0,1,5,4
1109,3,C1(C(C(C(CC1N)O)O)O)=O,6,11,4,161.068807832,0,1,5,4
1110,3,C(CN(C)CC(C(O)=O)=O)=O,6,9,4,159.053157768,1,1,4,1
1111,3,C(C(CO)NCC(C(O)=O)=O)(O)=O,6,9,6,191.042987008,2,1,5,4
1112,3,C(C(CN)=O)(O)=O,3,5,3,103.02694302,1,1,3,2
1113,3,C(C(CNCCO)=O)(O)=O,5,9,4,147.053157768,1,1,4,3
1114,3,C(C(C(CN(C)CC=O)=O)O)(O)=O,7,11,5,189.063722452,1,1,5,2
